Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,9.735388,9.747019,9.630706,9.642337,7.568545,43601623
2020-01-03,9.712125,9.723756,9.374818,9.514393,7.468118,83258112
2020-01-06,9.712125,9.770282,9.398080,9.421343,7.395080,135607228
2020-01-07,9.584181,9.781913,9.502762,9.747019,7.650712,190840567
2020-01-08,9.712125,10.177377,9.630706,10.154114,7.970253,266443517
2020-01-09,10.328583,10.398371,10.130851,10.223902,8.025031,230097651
2020-01-10,10.305321,10.444896,10.165745,10.421634,8.180238,171064879
2020-01-13,10.572840,11.038092,10.421634,10.875254,8.536297,222040901
2020-01-14,10.933410,10.991567,10.677522,10.712416,8.408480,159430969
2020-01-15,10.712416,10.840360,10.572840,10.607734,8.326313,129380789
2020-01-16,10.444896,10.607734,10.351846,10.468159,8.216756,181578243
2020-01-17,10.619366,10.770572,10.549578,10.770572,8.454128,129273985
2020-01-20,10.886885,10.991567,10.840360,10.863623,8.527167,124543840
2020-01-30,10.247164,10.316952,9.781913,9.781913,7.678102,209898346
2020-01-31,9.909857,10.235533,9.793544,10.235533,8.034160,211300673
2020-02-03,10.002907,10.875254,9.874963,10.840360,8.508907,291380627
2020-02-04,9.688863,10.712416,9.688863,10.712416,8.408480,194413665
2020-02-05,10.770572,10.991567,10.596103,10.607734,8.326313,184414873
2020-02-06,10.782204,10.886885,10.654259,10.793835,8.472388,113707566
2020-02-07,10.700785,10.805466,10.491421,10.619366,8.335443,129589158
2020-02-10,10.817097,10.979936,10.747310,10.840360,8.508907,212052490
2020-02-11,11.003198,11.003198,10.793835,10.898517,8.554556,105522891
2020-02-12,10.910148,10.968304,10.840360,10.863623,8.527167,78583210
2020-02-13,10.921779,10.956673,10.584472,10.700785,8.399350,101860196
2020-02-14,10.619366,10.677522,10.468159,10.514684,8.253276,113666925
2020-02-17,10.468159,10.468159,10.002907,10.037801,7.878956,164969915
2020-02-18,10.235533,10.351846,10.130851,10.189008,7.997643,99777621
2020-02-19,10.375109,10.433265,10.258796,10.398371,8.161977,105460267
2020-02-20,10.444896,10.479790,10.212271,10.258796,8.052422,79141879
2020-02-21,10.189008,10.258796,10.049432,10.142483,7.961123,75335008
2020-02-24,10.293690,10.549578,10.107589,10.142483,7.961123,193528980
2020-02-25,10.026170,10.130851,9.979645,9.979645,7.833306,85216429
2020-02-26,9.816807,9.921488,9.456237,9.479499,7.440730,177398265
2020-02-27,9.432974,9.549287,9.072404,9.188717,7.212486,164961358
2020-03-02,8.956091,9.200348,8.851410,9.014248,7.075540,116509347
2020-03-03,9.293399,9.316661,9.014248,9.014248,7.075540,93373600
2020-03-04,9.072404,9.328293,9.060773,9.305030,7.303784,97551587
2020-03-05,9.467868,9.467868,9.316661,9.328293,7.322042,72383434
2020-03-06,9.246874,9.281767,9.072404,9.130561,7.166838,73376056
2020-03-09,9.025879,9.130561,8.711834,8.746728,6.865556,113055166
2020-03-10,8.444315,8.793253,8.374527,8.525734,6.692092,153156772
2020-03-11,8.537365,8.653678,8.374527,8.386158,6.582534,57500938
2020-03-12,8.211689,8.246583,7.560337,7.699912,6.043880,219674040
2020-03-13,7.025298,7.327711,6.943879,7.292817,5.724340,216391994
2020-03-16,7.327711,7.502180,6.990404,7.002035,5.496097,124149802
2020-03-17,6.769409,7.025298,6.629834,6.711253,5.267854,154335104
2020-03-18,6.815934,6.874091,6.560046,6.560046,5.149168,108767347
2020-03-19,6.408839,6.420471,5.908694,5.908694,4.637902,168862965
2020-03-20,6.025007,6.478627,6.025007,6.234370,4.893535,219231075
2020-03-23,5.873800,5.920325,5.641174,5.641174,4.427918,147977279
2020-03-24,5.827275,5.920325,5.734225,5.815644,4.564864,121821891
2020-03-25,6.187845,6.327420,6.106426,6.164582,4.838756,143255927
2020-03-26,6.246001,6.280895,6.036638,6.141320,4.820498,94692092
2020-03-27,6.327420,6.501890,6.280895,6.327420,4.966572,132036621
2020-03-30,6.164582,6.164582,5.966850,6.106426,4.793107,82838711
2020-03-31,6.246001,6.292526,6.071532,6.083163,4.774848,80251841
2020-04-01,6.222739,6.687990,6.129688,6.687990,5.249594,197172922
2020-04-06,6.990404,7.153242,6.746147,6.908985,5.423059,214424532
2020-04-07,7.071823,7.316080,6.955510,7.048560,5.532616,179793727
2020-04-08,7.071823,7.234661,7.002035,7.141610,5.605653,110032708
2020-04-09,7.164873,7.246292,7.060191,7.083454,5.560005,101135436
2020-04-10,7.036929,7.095085,6.978772,7.083454,5.560005,73540962
2020-04-13,7.316080,7.502180,7.234661,7.246292,5.687821,162214201
2020-04-14,7.316080,7.350974,7.257923,7.316080,5.742599,75971226
2020-04-15,7.350974,7.432393,7.327711,7.350974,5.769989,73057813
